machine_id,priority,alert_level,action_type,cost_at_risk,urgency_score,window_days,expected_savings,suggestion
CNC_067,1,ALARM,immediate_shutdown,6560.4,100.0,2,4592.28,"[高风险等级 | DowntimeWindow.IMMEDIATE窗口] 立即停机：预计15.0h，备件=[rotor_assembly, bearing_kit, seal_kit]，估算成本=$5,996，日产值风险=$7,455。故障模式：综合退化。验收标准：参照综合退化类验收规则执行。"
CNC_012,1,ALARM,schedule_inspection,6597.36,100.0,1,4618.15,"[高风险等级 | 夜间窗口] 安排检查：预计2.3h，备件=[cooling_fan_assembly, thermal_paste, temperature_sensor_pt100]，估算成本=$2,791，日产值风险=$7,854。故障模式：热累积。验收标准：参照热累积类验收规则执行。"
CNC_025,1,ALARM,preventive_repair,6817.2,100.0,2,4772.04,"[高风险等级 | DowntimeWindow.IMMEDIATE窗口] 预防维修：预计8.0h，备件=[o-ring_set]，估算成本=$2,573，日产值风险=$7,410。故障模式：正常。验收标准：参照正常类验收规则执行。"
CNC_089,1,ALARM,schedule_inspection,6265.2,100.0,1,4385.64,"[中风险等级 | 夜间窗口] 安排检查：预计2.6h，备件=[rotor_assembly, bearing_kit, seal_kit]，估算成本=$5,102，日产值风险=$6,810。故障模式：综合退化。验收标准：参照综合退化类验收规则执行。"
CNC_019,1,ALARM,schedule_inspection,5631.599999999999,100.0,1,3942.12,"[中风险等级 | 夜间窗口] 安排检查：预计2.5h，备件=[rotor_assembly, bearing_kit, seal_kit]，估算成本=$4,905，日产值风险=$7,410。故障模式：综合退化。验收标准：参照综合退化类验收规则执行。"
CNC_063,1,ALARM,preventive_repair,4750.08,85.0,1,3325.06,"[低风险等级 | DowntimeWindow.IMMEDIATE窗口] 预防维修：预计6.2h，备件=[rotor_assembly, bearing_kit, seal_kit]，估算成本=$4,881，日产值风险=$4,948。故障模式：综合退化。验收标准：参照综合退化类验收规则执行。"
CNC_043,1,ALARM,schedule_inspection,4868.16,85.0,1,3407.71,"[低风险等级 | 夜间窗口] 安排检查：预计2.8h，备件=[rotor_assembly, bearing_kit, seal_kit]，估算成本=$4,695，日产值风险=$5,532。故障模式：综合退化。验收标准：参照综合退化类验收规则执行。"
CNC_081,1,ALARM,schedule_inspection,5110.239999999999,100.0,1,3577.17,"[低风险等级 | 夜间窗口] 安排检查：预计2.9h，备件=[cooling_fan_assembly, thermal_paste, temperature_sensor_pt100]，估算成本=$2,393，日产值风险=$6,724。故障模式：热累积。验收标准：参照热累积类验收规则执行。"
CNC_093,1,ALARM,schedule_inspection,5345.200000000001,100.0,1,3741.64,"[低风险等级 | 夜间窗口] 安排检查：预计3.1h，备件=[rotor_assembly, bearing_kit, seal_kit]，估算成本=$4,858，日产值风险=$5,810。故障模式：综合退化。验收标准：参照综合退化类验收规则执行。"
CNC_096,1,ALARM,schedule_inspection,5181.5999999999985,100.0,1,3627.12,"[低风险等级 | 夜间窗口] 安排检查：预计2.6h，备件=[cooling_fan_assembly, thermal_paste, temperature_sensor_pt100]，估算成本=$2,390，日产值风险=$6,477。故障模式：热累积。验收标准：参照热累积类验收规则执行。"
CNC_087,1,ALARM,schedule_inspection,7461.12,100.0,1,5222.78,"[高风险等级 | 夜间窗口] 安排检查：预计2.6h，备件=[o-ring_set]，估算成本=$2,415，日产值风险=$7,772。故障模式：正常。验收标准：参照正常类验收规则执行。"
CNC_056,1,ALARM,schedule_inspection,4750.239999999999,85.0,1,3325.17,"[低风险等级 | 夜间窗口] 安排检查：预计2.4h，备件=[rotor_assembly, bearing_kit, seal_kit]，估算成本=$4,634，日产值风险=$5,398。故障模式：综合退化。验收标准：参照综合退化类验收规则执行。"
CNC_009,1,ALARM,schedule_inspection,5229.28,100.0,1,3660.5,"[低风险等级 | 夜间窗口] 安排检查：预计2.3h，备件=[cooling_fan_assembly, thermal_paste, temperature_sensor_pt100]，估算成本=$2,381，日产值风险=$5,684。故障模式：热累积。验收标准：参照热累积类验收规则执行。"
