priority,machine_id,alert_level,action_type,cost_at_risk,urgency_score,window_days,expected_savings,suggestion
1,CNC_036,ALARM,preventive_repair,18080.00,100.00,3,12656.00,"[High Risk Tier] Preventive repair within 3 day(s). Daily production value at risk: $7,232. Cost avoidance by acting now vs. emergency repair: ~$12,656. Key concern: High-cost machine ($6,027 at risk) at ALARM level. Recommend: deploy vibration analysis + thermal scan during intervention."
2,CNC_025,ALARM,preventive_repair,17043.00,100.00,1,11930.10,"[High Risk Tier] Preventive repair within 1 day(s). Daily production value at risk: $7,410. Cost avoidance by acting now vs. emergency repair: ~$11,930. Key concern: Severe deviation (z_max=8.3) — urgent inspection needed. Recommend: deploy vibration analysis + thermal scan during intervention."
3,CNC_012,ALARM,preventive_repair,16493.40,100.00,3,11545.38,"[High Risk Tier] Preventive repair within 3 day(s). Daily production value at risk: $7,854. Cost avoidance by acting now vs. emergency repair: ~$11,545. Key concern: High-cost machine ($5,498 at risk) at ALARM level. Recommend: deploy vibration analysis + thermal scan during intervention."
4,CNC_067,ALARM,immediate_shutdown,16401.00,100.00,0,11480.70,"*** IMMEDIATE SHUTDOWN *** Parameter deviation is critical. Daily production exposure: $7,455. Initiate emergency protocol. Contact maintenance supervisor immediately. Root cause suspects: CRITICAL: Z-score max = 10.7 — extreme deviation from baseline."
5,CNC_089,ALARM,preventive_repair,15663.00,100.00,3,10964.10,"[High Risk Tier] Preventive repair within 3 day(s). Daily production value at risk: $6,810. Cost avoidance by acting now vs. emergency repair: ~$10,964. Key concern: High-cost machine ($5,221 at risk) at ALARM level. Recommend: deploy vibration analysis + thermal scan during intervention."
6,CNC_065,ALARM,schedule_inspection,14400.00,85.00,7,10080.00,"[High Risk Tier] Schedule inspection within 7 day(s). Focus: ALARM: normal pattern. Daily value at stake: $6,000. Recommended checks: electrical signature analysis, thermal imaging, physical inspection."
7,CNC_017,ALARM,schedule_inspection,14164.80,85.00,7,9915.36,"[High Risk Tier] Schedule inspection within 7 day(s). Focus: ALARM: normal pattern. Daily value at stake: $5,448. Recommended checks: electrical signature analysis, thermal imaging, physical inspection."
8,CNC_019,ALARM,schedule_inspection,14079.00,85.00,7,9855.30,"[High Risk Tier] Schedule inspection within 7 day(s). Focus: ALARM: normal pattern. Daily value at stake: $7,410. Recommended checks: electrical signature analysis, thermal imaging, physical inspection."
9,CNC_093,ALARM,schedule_inspection,13363.00,85.00,7,9354.10,"[High Risk Tier] Schedule inspection within 7 day(s). Focus: ALARM: normal pattern. Daily value at stake: $5,810. Recommended checks: electrical signature analysis, thermal imaging, physical inspection."
10,CNC_096,ALARM,schedule_inspection,12954.00,85.00,7,9067.80,"[High Risk Tier] Schedule inspection within 7 day(s). Focus: ALARM: normal pattern. Daily value at stake: $6,477. Recommended checks: electrical signature analysis, thermal imaging, physical inspection."
11,CNC_081,ALARM,schedule_inspection,12775.60,85.00,7,8942.92,"[High Risk Tier] Schedule inspection within 7 day(s). Focus: ALARM: normal pattern. Daily value at stake: $6,724. Recommended checks: electrical signature analysis, thermal imaging, physical inspection."
12,CNC_043,ALARM,schedule_inspection,12170.40,85.00,7,8519.28,"[High Risk Tier] Schedule inspection within 7 day(s). Focus: ALARM: normal pattern. Daily value at stake: $5,532. Recommended checks: electrical signature analysis, thermal imaging, physical inspection."
13,CNC_063,ALARM,preventive_repair,11875.20,85.00,1,8312.64,"[High Risk Tier] Preventive repair within 1 day(s). Daily production value at risk: $4,948. Cost avoidance by acting now vs. emergency repair: ~$8,313. Key concern: Severe deviation (z_max=8.4) — urgent inspection needed. Recommend: deploy vibration analysis + thermal scan during intervention."
14,CNC_005,ALARM,schedule_inspection,10829.00,85.00,7,7580.30,"[High Risk Tier] Schedule inspection within 7 day(s). Focus: ALARM: normal pattern. Daily value at stake: $4,165. Recommended checks: electrical signature analysis, thermal imaging, physical inspection."
15,CNC_003,ALARM,immediate_shutdown,10206.00,68.00,0,7144.20,"*** IMMEDIATE SHUTDOWN *** Parameter deviation is critical. Daily production exposure: $3,780. Initiate emergency protocol. Contact maintenance supervisor immediately. Root cause suspects: CRITICAL: Z-score max = 35.7 — extreme deviation from baseline."
16,CNC_085,WARNING,increase_monitoring,19323.20,66.00,14,13526.24,"Increase monitoring to every 14 day(s). Track: WARNING: elevated parameters, no clear degradation pattern. Escalate to inspection if parameters continue to drift."
17,CNC_034,WARNING,increase_monitoring,18781.80,66.00,14,13147.26,"Increase monitoring to every 14 day(s). Track: WARNING: elevated parameters, no clear degradation pattern. Escalate to inspection if parameters continue to drift."
18,CNC_087,WARNING,increase_monitoring,18652.80,66.00,14,13056.96,"Increase monitoring to every 14 day(s). Track: WARNING: elevated parameters, no clear degradation pattern. Escalate to inspection if parameters continue to drift."
19,CNC_064,WARNING,increase_monitoring,18308.00,66.00,14,12815.60,"Increase monitoring to every 14 day(s). Track: WARNING: elevated parameters, no clear degradation pattern. Escalate to inspection if parameters continue to drift."
20,CNC_033,WARNING,increase_monitoring,16684.80,66.00,14,11679.36,"Increase monitoring to every 14 day(s). Track: WARNING: elevated parameters, no clear degradation pattern. Escalate to inspection if parameters continue to drift."
