part_name,part_number,fault_type,unit_cost,lead_time_days,demand_rate_daily,reorder_point_s,target_stock_S,safety_stock,eoq,holding_cost_daily,current_stock_est,suggested_order_qty,stockout_risk
cooling_fan_assembly,CF-200-01,thermal_buildup,180.0,2,0.05,0.75,3.11,0.65,2.36,3.6,2,1,low
thermal_paste,TP-50G,thermal_buildup,25.0,1,0.05,0.51,6.83,0.46,6.32,0.5,4,3,low
temperature_sensor_pt100,TS-PT100,thermal_buildup,95.0,3,0.05,0.94,4.19,0.79,3.24,1.9,3,1,low
heat_sink_assembly,HS-300,thermal_buildup,320.0,5,0.05,1.27,3.04,1.02,1.77,6.4,2,1,low
power_supply_module,PSM-24V-500W,voltage_drift,450.0,3,0.05,0.94,2.43,0.79,1.49,9.0,1,1,low
voltage_regulator_ic,VR-LM317,voltage_drift,12.0,1,0.1,0.75,13.66,0.65,12.91,0.24,8,6,low
capacitor_bank,CAP-4700UF-63V,voltage_drift,65.0,2,0.05,0.75,4.67,0.65,3.92,1.3,3,2,low
motor_driver_module,MD-750W-V3,power_anomaly,680.0,5,0.05,1.27,2.49,1.02,1.21,13.6,1,1,low
current_sensor_hall,CS-H50A,power_anomaly,75.0,2,0.05,0.75,4.4,0.65,3.65,1.5,3,1,low
power_cable_set,PC-3P-4MM,power_anomaly,40.0,1,0.05,0.51,5.51,0.46,5.0,0.8,3,3,low
rotor_assembly,RA-CNC-100,combined_degradation,2800.0,7,0.05,1.56,2.56,1.21,1.0,56.0,2,1,low
bearing_kit,BK-6205-2RS,combined_degradation,85.0,2,0.1,1.12,5.97,0.92,4.85,1.7,4,2,low
seal_kit,SK-CNC-STD,combined_degradation,45.0,1,0.05,0.51,5.22,0.46,4.71,0.9,3,2,low
lubrication_kit,LK-SYNTH-1L,combined_degradation,30.0,1,0.05,0.51,6.28,0.46,5.77,0.6,4,2,low
o-ring_set,OR-CNC-STD,common,8.0,1,0.1,0.75,16.56,0.65,15.81,0.16,10,7,low
fastener_kit,FK-M6-M10,common,15.0,1,0.1,0.75,12.3,0.65,11.55,0.3,7,5,low
cleaning_kit,CK-IND,common,22.0,1,0.1,0.75,10.28,0.65,9.53,0.44,6,4,low
